Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,Wait,TrialLag,K,RewardSize
316,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,1572.855112,1577.203015,4.347903000000088,2.8181000000000003,3.3478000000000003,0.5297000000000001,3.0682,3.3308,0.2625999999999999,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.3308, 3.4451, 3.5409, 3.6461, 3.7698]","[3.3801, 3.4822, 3.5864000000000003, 3.6952, 3.8229]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
317,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,1577.215512,1581.547415,4.331903000000011,2.8181000000000003,3.3318000000000003,0.5137,3.0682,3.3148,0.2465999999999999,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3148, 3.4241, 3.5336000000000003, 3.646, 3.7643, 3.8815, 4.0224]","[3.3631, 3.4643, 3.5769, 3.6955, 3.8123, 3.9347, 4.0681]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
318,1,0.0,0,1,0,0,0.0,1.0,0.0,1.0,1,1581.5586119999994,1587.899816,6.341204000000062,2.8206,3.3411,0.5204999999999997,3.0707,3.3316000000000003,0.2609000000000003,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.3316000000000003, 3.7502, 3.8955, 4.0568]","[3.3714, 3.8224, 3.9532, 4.1127]","[3.3489999999999998, 3.444, 3.5872]","[3.3703000000000003, 3.4975, 3.6362]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
319,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,1587.9108119999999,1592.244015,4.333202999999912,2.8206,3.3331,0.5124999999999997,3.0707,3.3159,0.2452000000000001,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[3.3159, 3.4114, 3.5138000000000003, 3.6296, 3.7421, 3.8527]","[3.3518000000000003, 3.4492000000000003, 3.5564, 3.6762, 3.7872, 3.9109]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
320,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,1592.256312,1596.6238150000001,4.367502999999942,2.8181000000000003,3.3674,0.5492999999999997,3.0682,3.3504,0.2822,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.3504, 3.4602000000000004, 3.5570000000000004, 3.6571, 3.7723, 3.8865, 4.0041, 4.1381000000000006]","[3.3967, 3.4964, 3.5937, 3.7017, 3.8179, 3.9308, 4.0524, 4.1874]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
321,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,1596.6335119999999,1601.028215,4.394702999999936,2.8181000000000003,3.3946,0.5764999999999998,3.0682,3.3776,0.3094000000000001,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3776, 3.4893, 3.5940000000000003, 3.7036, 3.8244, 3.9525, 4.0787, 4.237, 4.379]","[3.4263000000000003, 3.5362, 3.6372, 3.751, 3.8782, 4.0043, 4.1376, 4.2804]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
322,1,0.0,0,1,0,0,0.0,1.0,0.0,1.0,1,1601.039812,1607.367715,6.327903000000106,2.8206,3.3278000000000003,0.5072000000000001,3.0707,3.3183,0.2476000000000002,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.3183, 3.4804000000000004, 3.8339999999999996]","[0.0223, 3.3779000000000003, 3.5331, 3.8899]","[3.4786, 3.6489]","[3.5342, 3.7109]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
323,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,1607.378812,1611.821815,4.44300300000009,2.8206,3.4429000000000003,0.6223000000000001,3.0707,3.4257,0.355,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[3.5525],[3.5689],"[3.4257, 3.5312, 3.6293, 3.7356, 3.8547, 3.9809]","[3.4663000000000004, 3.5741, 3.6751, 3.784, 3.9025, 4.032]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
324,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,1611.832512,1616.227416,4.394903999999997,2.8181000000000003,3.3948,0.5766999999999998,3.0682,3.3778,0.3096000000000001,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.3778, 3.4951000000000003, 3.6032, 3.7119999999999997, 3.8286, 3.9637]","[3.431, 3.5315000000000003, 3.6488, 3.7569, 3.8875, 4.0206]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
325,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,1616.2370119999994,1620.554316,4.317303999999922,2.8181000000000003,3.3172,0.4990999999999999,3.0682,3.3002,0.2320000000000002,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3002, 3.3958000000000004, 3.4956, 3.6067, 3.7489999999999997]","[3.3342, 3.4371, 3.5411, 3.6565, 3.7986]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
326,1,0.0,0,1,0,0,0.0,1.0,0.0,1.0,1,1620.5658119999994,1626.884915,6.31910300000004,2.8206,3.319,0.4983999999999997,3.0707,3.3095000000000003,0.2388000000000003,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.3095000000000003, 3.4163, 3.5822000000000003, 3.8956]","[3.3521, 3.4693, 3.6171, 3.9451]","[3.5839999999999996, 3.7192]","[3.5959000000000003, 3.7697]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
327,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,1626.8953119999999,1633.231916,6.336603999999852,2.8206,3.3365,0.5158999999999998,3.0707,3.327,0.2563,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.327, 3.4455, 3.7902]","[3.377, 3.4907000000000004, 3.8421]",[3.5983],[3.643],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
328,0,1.0,1,0,0,0,1.0,0.0,0.0,1.0,1,1633.247212,1637.572915,4.325702999999976,2.8181000000000003,3.3256,0.5074999999999998,3.0682,3.3086,0.2404000000000001,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3086, 3.3991, 3.5134000000000003, 3.6198, 3.7377, 3.8816]","[3.3317, 3.4553000000000003, 3.5639999999999996, 3.6738, 3.7943, 3.9325]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
329,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,1637.585412,1641.956116,4.370704000000161,2.8181000000000003,3.3706,0.5524999999999998,3.0682,3.3536,0.2854000000000001,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3536, 3.4757, 3.5823, 3.6933, 3.8116, 3.9344]","[3.4090000000000003, 3.516, 3.6272, 3.7419, 3.8597, 3.9837]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
330,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,1641.9687119999999,1646.378816,4.410103999999818,2.8206,3.41,0.5893999999999999,3.0707,3.3928000000000003,0.3221000000000003,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.3983000000000003, 3.4098, 4.1177]","[3.4042000000000003, 3.4360000000000004, 4.144]","[3.3928000000000003, 3.5093, 3.6189999999999998, 3.7273, 3.839, 3.9589, 4.1112, 4.3639]","[3.4394, 3.5571, 3.6678, 3.7732, 3.8867, 4.0158000000000005, 4.1467]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
331,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1,1646.3901119999994,1650.743216,4.3531040000000285,2.8206,3.353,0.5324,3.0707,3.3358000000000003,0.2651000000000003,iaa,iaa,1,,0,0,1,1,70.0,70.0,[3.6986],[3.7018],"[3.3358000000000003, 3.4381000000000004, 3.5313000000000003, 3.6377, 3.7737, 3.9327, 4.0792]","[3.3786, 3.4799, 3.5774000000000004, 3.7087, 3.846, 3.9986, 4.1405]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
332,0,0.0,0,1,0,0,0.0,1.0,1.0,1.0,1,1650.753612,1657.102416,6.348803999999973,2.8181000000000003,3.3487,0.5305999999999997,3.0682,3.3392,0.2709999999999999,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.3695, 4.1928]","[3.3793, 4.2423]","[3.3392, 3.4465000000000003, 3.5613, 3.6897, 3.8623, 3.987]","[3.3848000000000003, 3.4942, 3.6146, 3.7701, 3.9127, 4.0483]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
333,0,0.0,0,1,0,0,0.0,0.0,1.0,1.0,1,1657.115312,1663.4680150000006,6.352703000000019,2.8181000000000003,3.3526,0.5344999999999995,3.0682,3.3431,0.2749000000000001,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,[3.6334],[3.6969],"[3.3431, 3.4707000000000003, 3.6819, 3.8037]","[3.3904, 3.5211, 3.694, 3.8545]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
334,1,1.0,1,0,0,0,1.0,0.0,1.0,1.0,1,1663.479412,1667.881515,4.4021030000001256,2.8206,3.4019999999999997,0.5813999999999995,3.0707,3.3848000000000003,0.3141000000000003,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[3.3848000000000003, 3.4904, 3.5944000000000003, 3.7096, 3.8475, 3.9869]","[3.4302, 3.5359000000000003, 3.6422, 3.7622, 3.8917, 4.0248]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
335,1,1.0,0,1,0,0,0.0,1.0,0.0,0.0,1,1667.891612,1674.236216,6.344604000000117,2.8206,3.3445,0.5238999999999998,3.0707,3.335,0.2643,iaa,iaa,1,,0,0,1,1,70.0,70.0,"[3.335, 3.7404]","[3.3856, 3.8058]","[3.4564000000000004, 3.7476, 3.7844, 3.9294]","[3.5045, 3.7799, 3.7994, 3.9806]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
336,0,1.0,1,0,0,0,1.0,0.0,0.0,1.0,1,1674.248412,1678.581016,4.332604000000174,2.8181000000000003,3.3325,0.5143999999999997,3.0682,3.3155,0.2473000000000001,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3155, 3.455, 3.5509000000000004, 3.6634, 3.7885, 3.931]","[3.3920000000000003, 3.4925, 3.5975, 3.7141, 3.8431, 3.9801]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
337,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,1678.591912,1682.937115,4.345202999999857,2.8181000000000003,3.3451,0.5269999999999997,3.0682,3.3281,0.2599,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3281, 3.4373, 3.5417, 3.6499, 3.7643, 3.9083, 4.0539000000000005]","[3.3762000000000003, 3.4744, 3.5855, 3.6963, 3.8182, 3.9526, 4.0812]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
338,1,0.0,0,1,0,0,0.0,1.0,0.0,1.0,1,1682.9484120000006,1689.2757149999998,6.327303000000029,2.8206,3.3272000000000004,0.5066000000000002,3.0707,3.3177000000000003,0.2470000000000003,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.3177000000000003, 3.4174, 3.5503]","[3.3467, 3.4721, 3.5988]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
339,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,1689.289512,1693.6571149999993,4.367602999999917,2.8206,3.3675,0.5468999999999999,3.0707,3.3503000000000003,0.2796000000000003,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[3.3503000000000003, 3.4525, 3.5538000000000003, 3.6601, 3.7674, 3.9037]","[3.3935, 3.4903, 3.5963000000000003, 3.7022, 3.8175, 3.9494]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
340,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,1693.6669120000001,1697.7581149999999,4.091203000000178,2.8181000000000003,3.0911,0.2729999999999997,3.0682,3.0741,0.0059,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.0741, 3.2241, 3.3257000000000003, 3.4386, 3.5591000000000004, 3.6932]","[3.1631, 3.2678000000000003, 3.3720000000000003, 3.488, 3.6087, 3.741]",[3.6937],[3.7321],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
341,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,1697.770312,1702.107616,4.337303999999904,2.8181000000000003,3.3372,0.5190999999999999,3.0682,3.3202000000000003,0.2520000000000002,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3202000000000003, 3.4367, 3.5464, 3.6497, 3.7702, 3.9219999999999997]","[3.3657000000000004, 3.48, 3.5881000000000003, 3.6952, 3.8204, 3.9499]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
342,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,1702.117612,1706.509116,4.391503999999944,2.8206,3.3914,0.5707999999999998,3.0707,3.3742,0.3035000000000001,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[3.3742, 3.4789999999999996, 3.5766, 3.6879, 3.7977, 3.9283]","[3.4152, 3.5134000000000003, 3.6174, 3.7302, 3.8418, 3.9636]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
343,1,1.0,0,1,0,0,0.0,1.0,0.0,0.0,1,1706.519812,1712.6649149999994,6.145103000000062,2.8206,3.145,0.3243999999999998,3.0707,3.1355,0.0647999999999999,iaa,iaa,1,,0,0,1,1,70.0,70.0,[3.1355],[3.1715],"[3.2439, 3.3534, 3.4970000000000003, 3.6455]","[3.2893000000000003, 3.4022, 3.5577, 3.6944]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
344,0,1.0,0,1,0,0,0.0,0.0,1.0,0.0,1,1712.675512,1719.0626149999994,6.387103000000025,2.8181000000000003,3.387,0.5688999999999997,3.0682,3.3775,0.3092999999999999,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[],[],"[3.3775, 3.4973, 3.6714]","[3.4288000000000003, 3.5542, 3.7195]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
345,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,1719.0725120000006,1723.439116,4.366604000000052,2.8181000000000003,3.3665000000000003,0.5484,3.0682,3.3495000000000004,0.2813000000000003,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.3495000000000004, 3.4730000000000003, 3.5779, 3.7035]","[3.4035, 3.5172000000000003, 3.6259, 3.7511]",[],[],0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
346,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,1723.4483120000002,1727.853216,4.404903999999988,2.8206,3.4048000000000003,0.5842,3.0707,3.3876,0.3169,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[3.3907000000000003],[3.4409],"[3.3876, 3.5108, 3.6206, 3.7283, 3.8519, 3.9775, 4.1237]","[3.4446000000000003, 3.5561000000000003, 3.6665, 3.7757, 3.904, 4.0293, 4.1530000000000005]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
347,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1,1727.867212,1732.214116,4.346903999999995,2.8206,3.3468,0.5261999999999998,3.0707,3.3296,0.2589000000000001,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[3.3296, 3.4297, 3.5269999999999997, 3.6343, 3.7475]","[3.3689999999999998, 3.4657, 3.5687, 3.6799, 3.7987]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
348,0,0.0,0,1,0,0,0.0,1.0,1.0,1.0,1,1732.225412,1738.561215,6.335802999999943,2.8181000000000003,3.3357,0.5175999999999998,3.0682,3.3262,0.258,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,[4.0177000000000005],[4.0234000000000005],"[3.3262, 3.4157, 3.5148, 3.6667, 3.7989, 3.9396, 4.2592, 4.4275]","[3.3584, 3.4552, 3.5632, 3.7339, 3.87, 4.0291000000000015, 4.3113, 4.4962]",0.0075,0.0077,0,0,0.0,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,2.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod3,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod3,4,36003,4,1.8.2,004_stage_training_v5_20240321-120644,2024-03-21,12:06:56.912053,12:54:37.397874,,,,
